region_id,date,disease_code,outbreak_occurred,outbreak_severity,days_until_outbreak,contributing_factors
76,2025-01-07,A90,1,low,9,"high_temperature,poor_sanitation,rising_cases"
72,2024-12-11,A90,1,high,13,"high_temperature,poor_sanitation,rising_cases"
51,2024-12-29,A90,1,high,19,"high_temperature,poor_sanitation,rising_cases"
67,2025-01-13,A90,1,low,9,"high_temperature,poor_sanitation,rising_cases"
74,2024-12-19,A90,1,low,16,"high_temperature,poor_sanitation,rising_cases"
18,2024-11-12,A90,1,high,11,"high_temperature,poor_sanitation,rising_cases"
15,2024-12-11,A90,1,medium,17,"high_temperature,poor_sanitation,rising_cases"
87,2024-12-16,A90,1,critical,20,"high_temperature,poor_sanitation,rising_cases"
10,2024-11-20,A90,1,critical,12,"high_temperature,poor_sanitation,rising_cases"
57,2024-11-20,A90,1,low,19,"high_temperature,poor_sanitation,rising_cases"
95,2024-11-15,A90,1,high,9,"high_temperature,poor_sanitation,rising_cases"
96,2025-01-03,A90,1,medium,1,"high_temperature,poor_sanitation,rising_cases"
31,2024-12-14,A90,1,low,18,"high_temperature,poor_sanitation,rising_cases"
40,2024-11-28,A90,1,low,8,"high_temperature,poor_sanitation,rising_cases"
39,2025-01-07,A90,1,low,10,"high_temperature,poor_sanitation,rising_cases"
24,2024-11-29,A90,1,critical,12,"high_temperature,poor_sanitation,rising_cases"
87,2024-12-11,A90,1,high,15,"high_temperature,poor_sanitation,rising_cases"
11,2024-12-25,A90,1,critical,9,"high_temperature,poor_sanitation,rising_cases"
1,2024-11-11,A90,1,critical,9,"high_temperature,poor_sanitation,rising_cases"
75,2024-12-18,A90,1,low,19,"high_temperature,poor_sanitation,rising_cases"
40,2024-11-05,A90,1,medium,11,"high_temperature,poor_sanitation,rising_cases"
29,2024-12-17,A90,1,low,7,"high_temperature,poor_sanitation,rising_cases"
100,2024-11-20,A90,1,low,13,"high_temperature,poor_sanitation,rising_cases"
84,2024-11-26,A90,1,low,17,"high_temperature,poor_sanitation,rising_cases"
26,2024-11-29,A90,1,medium,9,"high_temperature,poor_sanitation,rising_cases"
68,2024-11-24,A90,1,high,18,"high_temperature,poor_sanitation,rising_cases"
54,2024-12-08,A90,1,high,9,"high_temperature,poor_sanitation,rising_cases"
72,2024-11-03,A90,1,low,15,"high_temperature,poor_sanitation,rising_cases"
62,2024-12-03,A90,1,medium,20,"high_temperature,poor_sanitation,rising_cases"
39,2024-12-03,A90,1,high,13,"high_temperature,poor_sanitation,rising_cases"
58,2025-01-04,A90,1,high,8,"high_temperature,poor_sanitation,rising_cases"
45,2024-11-05,A90,1,low,8,"high_temperature,poor_sanitation,rising_cases"
41,2024-11-11,A90,1,medium,16,"high_temperature,poor_sanitation,rising_cases"
70,2025-01-13,A90,1,low,9,"high_temperature,poor_sanitation,rising_cases"
